iter	Passed	Remaining
0	5	981
1	6	552
2	6	409
3	13	589
4	15	572
5	19	574
6	19	508
7	24	542
8	25	506
9	26	470
10	27	437
11	28	409
12	29	386
13	30	370
14	31	354
15	32	338
16	34	344
17	36	336
18	36	322
19	37	310
20	38	299
21	40	300
22	41	294
23	42	285
24	43	276
25	43	268
26	44	261
27	45	255
28	46	248
29	46	242
30	47	236
31	48	230
32	49	226
33	49	221
34	50	216
35	51	213
36	52	209
37	53	206
38	54	202
39	55	199
40	55	195
41	56	192
42	57	188
43	57	185
44	58	182
45	59	179
46	59	175
47	60	172
48	61	169
49	61	167
50	63	166
51	65	166
52	66	164
53	66	161
54	67	159
55	68	156
56	69	155
57	70	154
58	71	152
59	72	150
60	72	148
61	73	146
62	74	143
63	75	141
64	75	139
65	76	137
66	77	135
67	77	133
68	79	133
69	80	132
70	81	130
71	82	128
72	82	126
73	85	128
74	87	127
75	88	126
76	89	124
77	104	142
78	105	140
79	120	158
80	122	156
81	122	154
82	123	151
83	123	148
84	123	145
85	124	143
86	124	140
87	125	137
88	125	135
89	125	132
90	126	130
91	127	128
92	127	126
93	128	124
94	129	122
95	129	120
96	130	118
97	130	115
98	131	113
99	131	111
100	132	110
101	133	108
102	133	106
103	134	104
104	134	102
105	135	100
106	135	98
107	136	97
108	136	95
109	137	93
110	137	91
111	137	89
112	138	88
113	139	86
114	139	85
115	140	83
116	140	81
117	141	80
118	141	78
119	142	77
120	142	75
121	143	74
122	144	72
123	144	71
124	145	69
125	145	68
126	146	66
127	146	65
128	147	63
129	147	62
130	149	61
131	150	60
132	150	59
133	151	57
134	152	56
135	179	64
136	186	65
137	187	63
138	187	62
139	188	60
140	189	59
141	189	57
142	195	57
143	196	55
144	199	55
145	209	56
146	211	54
147	212	53
148	214	51
149	215	50
150	218	49
151	220	47
152	221	46
153	222	44
154	222	43
155	223	41
156	224	40
157	226	38
158	227	37
159	228	35
160	231	34
161	231	32
162	232	31
163	233	29
164	233	28
165	234	26
166	234	25
167	234	23
168	235	22
169	235	20
170	236	19
171	236	17
172	237	16
173	237	15
174	238	13
175	238	12
176	239	10
177	239	9
178	240	8
179	240	6
180	241	5
181	242	3
182	242	2
183	243	1
184	243	0
